ID,Nombre,Habitaciones,Parcelas,Plazas,Cabañas,Fecha Inscripción,Departamento,Clasificación,Localidad
1167,AMBAR APART HOTEL,7,0,18,0,16/12/2024,San Rafael,Hospedaje,SAN RAFAEL
1168,CHILL INN,9,0,32,0,30/01/2025,Capital,Hospedaje,5A. SECCION
1169,ENCANTO DE MARIA,0,0,20,4,31/01/2025,Gral. Alvear,Cabañas,CIUDAD
1170,PUNTO SUR AVENIDA,24,0,61,0,13/02/2025,Malargue,Hospedaje,MALARGUE
1171,LA CASCADA,4,0,0,2,18/02/2025,Gral. Alvear,PAT (Propiedad Alquiler Temporario),GRAL. ALVEAR
1172,CASA HAYDEE,9,0,21,0,26/02/2025,Lujan,Hospedaje,CHACRAS DE CORIA
1173,COMPLEJO LOS JAZMINES,7,0,17,6,05/03/2025,Gral. Alvear,Hospedaje,GRAL. ALVEAR
1174,HOTEL BALLOFFET,20,0,20,0,14/03/2025,San Rafael,Hospedaje,CIUDAD
1175,PUERTA DEL SOL,77,0,175,0,14/03/2025,Capital,Hotel,CAPITAL
1176,PUEBLO DORADO,4,0,14,3,17/03/2025,Malargue,Hospedaje,MALARGUE
1177,OLAS HOSTEL,10,0,13,0,17/03/2025,Capital,Hospedaje,6A. SECCION
1178,H 125,4,1,14,3,15/04/2025,Capital,Hospedaje,6A. SECCION
1181,VALLE HERMOSO,3,0,14,0,21/04/2025,Malargue,PAT (Propiedad Alquiler Temporario),CIUDAD
1182,EL FESTIVAL,0,0,0,0,01/02/2019,Tunuyan,Camping,EL TOTORAL
1183,POSADA DE WALTER,1,0,4,0,28/04/2025,Malargue,PAT (Propiedad Alquiler Temporario),MALARGUE
1184,CABAÑAS LAS MADRIGUERAS,0,0,55,14,28/04/2025,Gral. Alvear,Hospedaje,GRAL. ALVEAR
1185,BOHEMIA,11,0,24,0,12/12/2025,Capital,Hospedaje,CIUDAD
1186,ESTANCIA LOS MORROS,18,0,18,2,06/05/2025,Malargue,PAT (Propiedad Alquiler Temporario),MALARGUE
1187,LA COMARCA,1,0,4,0,04/02/2025,Gral. Alvear,Hospedaje,GRAL.ALVEAR
1188,TERRAZAS EN EL BOSQUE,6,0,18,3,12/12/2025,Malargue,Hospedaje,MALARGUE
1189,TOTEM BOULEVARD,52,0,133,0,03/06/2025,San Martin,Hospedaje,SAN MARTIN
1190,LOS CACTUS,0,0,16,3,03/06/2025,Malargue,PAT (Propiedad Alquiler Temporario),MALARGUE
1191,AMERIAN CHACRAS DE CORIA,40,0,80,0,09/06/2025,Lujan,Hospedaje,CHACRAS DE CORIA
1192,VIENTO ANDINO,14,0,32,8,23/06/2025,San Rafael,PAT (Propiedad Alquiler Temporario),LAS PAREDES
1193,MI SUEÑO,8,0,25,6,25/06/2025,Malargue,Hospedaje,MALARGUE 
1194,MAPAS DE DRUMOND,10,0,25,5,01/07/2025,Lujan,PAT (Propiedad Alquiler Temporario),MAYOR DRUMOND
1195,MIS OLIVOS,6,0,14,0,28/07/2025,San Rafael,Hospedaje,CUADRO BENEGAS
1196,LAS JOSEFINAS,2,0,7,2,30/07/2025,Malargue,Hospedaje,COLONIA PEHUENCHE
1197,DEPARTAMENTOS 9 DE JULIO,0,0,0,0,13/08/2025,Capital,Hospedaje,2A. SECCION
1198,COMPLEJO COIRON,7,0,22,0,13/08/2025,San Rafael,PAT (Propiedad Alquiler Temporario),SAN RAFAEL
